id;dealer_seat_number;stage;max_raised_chip;turn_act_seat_number;last_to_act_seat_number;full_raiser_seat_number;full_raiser_chip_difference;normal_players_count;chip_in_stage_pattern;cards
1;90932;EMPTY;31171;42515;52006;20794;54671;56770;Industrial;connect Markets Chief
2;59789;EMPTY;4522;96117;32533;84453;38867;74732;South Georgia and the South Sandwich Islands;compelling mission-critical
3;54269;EMPTY;80219;16526;7455;1563;98688;42340;reinvent 24 hour Jewelery;monitor
4;72900;EMPTY;86310;85003;62329;44945;33089;9541;envisioneer;moratorium pixel withdrawal
5;88721;EMPTY;71324;84891;76078;72172;56127;23598;Networked Sleek Metal Table Small;Intelligent Outdoors
6;63641;EMPTY;90756;13933;24929;60441;41038;53984;white Brand Money Market Account;Salad Web virtual
7;63340;EMPTY;80367;21844;18657;41650;89255;88328;projection Fresh;support Gorgeous
8;22793;EMPTY;86073;30478;695;16465;51074;53408;Bedfordshire Bahamian Dollar;24/7
9;94290;EMPTY;51879;55810;70301;40383;36362;6489;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers
10;60956;EMPTY;23956;68070;14489;53093;48945;44778;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter
