id;big_blind;rake_policy;number_of_seats;min_buy_in;max_buy_in
1;37454;Directives application Home Loan Account;15601;44583;15599
2;9997;Trace;33370;60111;14286
3;70807;Movies Producer;83244;93855;21233
4;77;Officer;61748;30424;61165
5;52475;web-readiness;29122;52477;61185
6;39986;Gorgeous Frozen Pants;23277;45606;9060
7;78517;grey Cambridgeshire;59241;46676;4645
8;85994;Yuan Renminbi Centers;1326;94888;94220
9;96563;cross-platform access;9767;23089;68423
10;24102;Bahamian Dollar Investment Account;83319;3438;17336
